DATFILE : bwopen0_3r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR3
RANGE : 500
STARTING_POS : 0
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 3834.0
CONFIGURATIONS :
0 0 0 
0 4 26 
0 22 5 
4 8 5 
22 8 26 
22 13 4 
5 13 26 
1 25 26 
1 18 5 
1 14 22 
1 15 4 
1 10 0 
27 24 0 
27 6 4 
9 6 26 
9 21 5 
10 6 5 
10 24 26 
15 24 5 
15 6 22 
14 6 8 
18 24 8 
14 24 13 
18 10 13 
14 10 17 
18 15 17 
14 15 25 
9 10 25 
9 15 13 
10 15 8 
10 19 22 
9 19 8 
27 19 13 
27 20 25 
9 20 18 
9 23 14 
11 20 14 
11 23 18 
11 16 15 
11 12 10 
21 16 10 
21 12 15 
3 7 15 
2 7 10 
2 21 24 
2 3 6 
27 3 21 
1 3 11 
1 21 6 
27 7 11 
9 7 24 
9 12 2 
24 12 6 
24 16 3 
10 23 3 
6 23 7 
21 20 7 
3 20 12 
7 19 12 
6 19 16 
21 19 23 
24 19 20 
15 20 23 
12 16 23 
2 11 19 
6 11 25 
24 11 22 
27 9 22 
27 14 26 
2 14 5 
2 15 26 
2 27 1 
2 8 0 
24 17 4 
9 17 0 
27 17 5 
1 13 8 
0 13 25 
22 17 25 
4 18 25 
5 19 25 
14 19 18 
15 19 17 
24 23 25 
6 20 18 
21 16 14 
3 16 9 
21 11 9 
1 24 9 
4 10 9 
8 10 27 
22 18 27 
4 14 2 
0 14 6 
26 18 11 
27 15 12 
10 20 16 
8 17 25 
26 17 13 
2 17 22 
11 17 5 
7 16 5 
0 0 0 
;

MOVING ROBOT :
0 0 0 
0 1 1 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
1 1 0 
0 1 1 
1 0 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
0 1 1 
0 1 1 
0 1 1 
1 1 0 
0 1 1 
1 1 0 
1 0 1 
0 1 1 
0 1 1 
1 0 1 
1 0 1 
0 1 1 
1 1 1 
1 0 1 
0 1 1 
1 0 1 
0 1 1 
1 1 0 
1 0 1 
1 1 0 
1 0 1 
