Academic license - for non-commercial use only
DATFILE : bwopen0_2r_500.dat
ENVIRONMENT : bwopen
ALGORITHM : KUMAR2
RANGE : 500.
STARTING_POS : 0
N_ROBOTS : 2
KUMAR2 T : 3433.0
CONFIGURATIONS :
0 0 
0 4 
0 26 
0 5 
0 22 
0 8 
0 13 
0 17 
0 25 
4 25 
26 25 
5 25 
22 25 
8 25 
8 18 
8 14 
22 18 
22 14 
26 18 
5 18 
5 14 
26 14 
4 18 
4 14 
0 14 
4 15 
4 10 
26 15 
5 15 
5 10 
26 10 
22 15 
22 10 
8 15 
8 10 
8 24 
22 24 
5 24 
26 24 
4 24 
0 6 
0 24 
0 10 
0 9 
4 9 
26 9 
5 9 
22 9 
8 9 
13 9 
17 9 
25 9 
18 9 
14 9 
15 9 
10 9 
24 9 
6 9 
6 10 
6 15 
21 14 
6 18 
6 14 
11 25 
11 18 
11 14 
11 15 
11 10 
11 24 
11 6 
11 21 
11 3 
11 7 
11 12 
11 16 
11 23 
11 20 
11 19 
6 19 
21 19 
7 19 
12 20 
12 23 
12 16 
16 23 
16 20 
23 20 
20 19 
23 19 
16 19 
12 19 
7 20 
7 23 
7 16 
7 12 
21 16 
21 23 
21 20 
3 20 
3 23 
3 16 
3 12 
21 12 
6 12 
6 16 
6 23 
6 20 
2 19 
27 19 
27 20 
5 19 
22 19 
8 19 
13 19 
17 19 
25 19 
25 20 
18 20 
18 23 
14 16 
14 23 
14 20 
18 19 
14 19 
15 19 
10 19 
24 19 
24 20 
24 23 
24 16 
24 12 
10 16 
10 12 
15 12 
15 16 
15 23 
15 20 
10 23 
10 20 
9 19 
9 20 
9 23 
9 16 
9 12 
27 12 
2 12 
2 7 
2 3 
2 21 
2 6 
2 11 
2 24 
2 10 
2 15 
2 14 
2 9 
2 27 
2 1 
2 0 
2 4 
2 26 
2 5 
2 22 
2 8 
6 8 
6 22 
21 5 
6 5 
6 26 
6 4 
11 22 
11 26 
11 5 
11 1 
11 27 
11 9 
6 27 
24 27 
10 27 
15 27 
14 27 
18 27 
25 27 
17 27 
13 27 
8 27 
22 27 
5 27 
26 27 
4 27 
0 27 
0 1 
4 1 
26 1 
5 1 
22 1 
8 1 
13 1 
25 1 
18 1 
14 1 
15 1 
10 1 
9 1 
27 1 
9 27 
24 1 
6 1 
21 1 
3 1 
3 27 
21 27 
7 27 
7 9 
21 9 
3 9 
3 10 
3 15 
21 10 
21 15 
7 15 
7 10 
7 24 
21 24 
3 24 
3 6 
3 21 
3 7 
21 7 
6 7 
6 21 
24 6 
10 24 
15 24 
14 10 
18 10 
18 15 
14 15 
15 10 
14 24 
18 24 
25 6 
13 24 
17 24 
25 24 
13 10 
13 15 
17 10 
17 15 
25 10 
25 15 
18 14 
25 14 
25 18 
17 14 
13 14 
17 18 
13 18 
13 25 
17 25 
13 17 
8 17 
8 13 
22 17 
22 13 
26 13 
5 13 
5 17 
26 17 
4 17 
4 13 
4 8 
26 8 
5 8 
22 8 
4 22 
26 22 
5 22 
5 26 
5 4 
26 4 
0 0 
;

EXECUTION TIME KUMAR2: 25.3219940662 seconds

-------------------------------------------------------------------
MAP: bwopen0_
DATE: 2017-10-24_14-38-26
