DATFILE : offices1_3r_1000.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : _100
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / cardinality : 8956.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 36 42 
4 35 42 
24 35 41 
4 34 41 
4 33 36 
24 33 34 
5 33 35 
5 32 34 
5 27 36 
41 32 36 
40 32 35 
40 27 34 
40 26 33 
39 27 33 
39 26 32 
23 26 27 
23 38 32 
2 38 27 
2 37 32 
2 43 33 
23 37 33 
23 43 34 
26 37 34 
26 43 35 
27 37 35 
31 38 35 
30 38 34 
29 38 33 
29 39 34 
30 39 35 
29 23 35 
28 2 35 
28 23 36 
29 2 36 
30 2 41 
31 23 41 
31 2 42 
30 23 42 
29 26 42 
28 27 42 
17 32 42 
17 27 41 
17 26 36 
28 26 41 
28 38 40 
29 37 40 
30 43 40 
29 43 41 
31 43 36 
30 37 36 
31 37 18 
27 43 18 
32 25 18 
33 0 18 
34 1 18 
35 1 36 
34 0 36 
34 25 35 
33 25 41 
33 1 42 
32 1 24 
27 1 4 
32 0 4 
27 0 24 
26 0 5 
26 25 24 
23 25 4 
2 25 3 
23 0 3 
26 1 3 
39 1 23 
40 1 2 
39 0 2 
38 0 1 
37 25 1 
43 25 0 
37 28 0 
43 28 1 
19 29 1 
17 30 1 
17 29 0 
17 28 25 
17 19 43 
17 16 37 
19 16 38 
19 6 26 
19 22 27 
19 7 32 
16 7 27 
16 22 32 
16 6 33 
22 6 34 
7 6 35 
7 22 36 
7 10 41 
22 10 42 
7 11 42 
22 11 41 
6 11 36 
6 21 41 
6 8 42 
16 21 42 
16 8 41 
19 8 36 
19 21 35 
19 11 34 
17 11 35 
17 21 34 
17 8 33 
28 21 33 
28 8 32 
29 8 27 
29 21 32 
30 21 27 
30 8 26 
31 21 26 
31 8 39 
31 12 40 
28 12 39 
17 20 39 
17 9 23 
19 9 2 
19 20 23 
16 20 2 
16 12 23 
6 12 2 
6 20 3 
22 9 3 
7 9 24 
22 20 24 
7 20 4 
22 12 4 
10 12 24 
10 20 5 
11 9 5 
21 9 4 
21 8 24 
11 8 4 
11 21 3 
10 8 3 
10 21 23 
10 11 2 
22 21 2 
7 8 2 
22 8 23 
7 21 1 
15 8 1 
15 21 0 
15 11 25 
13 21 25 
13 8 0 
14 8 25 
14 21 43 
14 11 37 
14 10 38 
14 22 26 
14 7 23 
15 7 26 
15 22 38 
13 7 38 
13 22 37 
13 6 43 
15 6 37 
15 16 43 
13 16 28 
14 16 29 
14 6 30 
14 19 31 
15 19 30 
15 17 31 
15 28 29 
22 28 30 
7 28 31 
22 29 31 
7 29 30 
10 31 30 
11 31 27 
11 30 32 
10 27 32 
6 31 32 
16 31 34 
16 30 18 
6 29 18 
22 17 18 
10 28 18 
10 29 9 
11 29 20 
11 43 12 
21 37 12 
8 38 12 
21 38 20 
8 37 20 
8 43 9 
12 25 9 
12 0 20 
9 1 20 
9 26 18 
9 38 36 
9 37 41 
20 43 42 
12 19 42 
12 17 5 
12 29 3 
11 28 24 
10 17 4 
6 17 24 
6 28 4 
19 28 3 
19 37 24 
43 37 4 
43 38 24 
37 38 5 
43 39 5 
25 40 5 
23 40 24 
39 40 4 
39 41 3 
40 36 3 
42 34 3 
18 35 3 
18 36 39 
18 41 40 
9 42 40 
18 42 38 
18 5 23 
18 24 2 
5 4 2 
5 24 3 
38 4 3 
31 4 24 
31 1 5 
31 33 3 
43 32 3 
25 38 39 
0 19 40 
25 16 36 
0 16 35 
25 6 27 
37 7 39 
38 11 26 
19 10 39 
16 10 26 
16 11 39 
6 10 40 
15 10 36 
13 10 35 
13 11 33 
13 12 32 
13 20 27 
13 9 31 
15 9 27 
15 20 32 
15 12 33 
14 12 34 
14 20 35 
14 9 33 
6 9 39 
28 9 34 
30 20 33 
30 9 0 
31 20 25 
41 12 1 
41 14 0 
42 14 39 
24 15 39 
4 13 26 
24 13 30 
5 13 29 
5 14 28 
3 14 17 
2 13 17 
41 13 19 
42 13 15 
36 13 14 
40 15 14 
40 7 17 
2 15 23 
4 15 18 
12 7 18 
12 22 35 
20 7 34 
8 10 34 
8 15 35 
8 15 5 
21 22 5 
21 22 40 
21 22 39 
11 22 1 
11 22 0 
10 7 0 
10 7 25 
10 7 43 
10 6 1 
11 6 23 
11 16 40 
7 16 5 
7 16 3 
14 16 24 
14 16 4 
14 16 1 
22 19 25 
22 19 33 
10 37 33 
7 32 33 
14 32 27 
14 2 26 
13 23 39 
13 1 40 
15 38 41 
15 37 3 
13 27 3 
13 34 2 
13 18 19 
14 18 11 
8 18 21 
12 36 21 
20 40 8 
20 26 12 
18 28 20 
35 32 9 
41 36 20 
5 30 12 
5 19 6 
38 17 6 
0 31 6 
25 30 29 
4 30 29 
42 25 37 
42 0 37 
24 0 29 
3 0 30 
4 0 19 
4 43 22 
34 43 15 
27 43 12 
27 16 9 
42 42 42 
;

EXECUTION TIME KUMAR3: 1134.37489986 seconds

-------------------------------------------------------------------
DATFILE : offices1_3r_1000.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : _100
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / heuristic : 8956.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 36 42 
4 35 42 
24 35 41 
4 34 41 
4 33 36 
24 33 34 
5 33 35 
5 32 34 
5 27 36 
41 32 36 
40 32 35 
40 27 34 
40 26 33 
39 27 33 
39 26 32 
23 26 27 
23 38 32 
2 38 27 
2 37 32 
2 43 33 
23 37 33 
23 43 34 
26 37 34 
26 43 35 
27 37 35 
31 38 35 
30 38 34 
29 38 33 
29 39 34 
30 39 35 
29 23 35 
28 2 35 
28 23 36 
29 2 36 
30 2 41 
31 23 41 
31 2 42 
30 23 42 
29 26 42 
28 27 42 
17 32 42 
17 27 41 
17 26 36 
28 26 41 
28 38 40 
29 37 40 
30 43 40 
29 43 41 
31 43 36 
30 37 36 
31 37 18 
27 43 18 
32 25 18 
33 0 18 
34 1 18 
35 1 36 
34 0 36 
34 25 35 
33 25 41 
33 1 42 
32 1 24 
27 1 4 
32 0 4 
27 0 24 
26 0 5 
26 25 24 
23 25 4 
2 25 3 
23 0 3 
26 1 3 
39 1 23 
40 1 2 
39 0 2 
38 0 1 
37 25 1 
43 25 0 
37 28 0 
43 28 1 
19 29 1 
17 30 1 
17 29 0 
17 28 25 
17 19 43 
17 16 37 
19 16 38 
19 6 26 
19 22 27 
19 7 32 
16 7 27 
16 22 32 
16 6 33 
22 6 34 
7 6 35 
7 22 36 
7 10 41 
22 10 42 
7 11 42 
22 11 41 
6 11 36 
6 21 41 
6 8 42 
16 21 42 
16 8 41 
19 8 36 
19 21 35 
19 11 34 
17 11 35 
17 21 34 
17 8 33 
28 21 33 
28 8 32 
29 8 27 
29 21 32 
30 21 27 
30 8 26 
31 21 26 
31 8 39 
31 12 40 
28 12 39 
17 20 39 
17 9 23 
19 9 2 
19 20 23 
16 20 2 
16 12 23 
6 12 2 
6 20 3 
22 9 3 
7 9 24 
22 20 24 
7 20 4 
22 12 4 
10 12 24 
10 20 5 
11 9 5 
21 9 4 
21 8 24 
11 8 4 
11 21 3 
10 8 3 
10 21 23 
10 11 2 
22 21 2 
7 8 2 
22 8 23 
7 21 1 
15 8 1 
15 21 0 
15 11 25 
13 21 25 
13 8 0 
14 8 25 
14 21 43 
14 11 37 
14 10 38 
14 22 26 
14 7 23 
15 7 26 
15 22 38 
13 7 38 
13 22 37 
13 6 43 
15 6 37 
15 16 43 
13 16 28 
14 16 29 
14 6 30 
14 19 31 
15 19 30 
15 17 31 
15 28 29 
22 28 30 
7 28 31 
22 29 31 
7 29 30 
10 31 30 
11 31 27 
11 30 32 
10 27 32 
6 31 32 
16 31 34 
16 30 18 
6 29 18 
22 17 18 
10 28 18 
10 29 9 
11 29 20 
11 43 12 
21 37 12 
8 38 12 
21 38 20 
8 37 20 
8 43 9 
12 25 9 
12 0 20 
9 1 20 
9 26 18 
9 38 36 
9 37 41 
20 43 42 
12 19 42 
12 17 5 
12 29 3 
11 28 24 
10 17 4 
6 17 24 
6 28 4 
19 28 3 
19 37 24 
43 37 4 
43 38 24 
37 38 5 
43 39 5 
25 40 5 
23 40 24 
39 40 4 
39 41 3 
40 36 3 
42 34 3 
18 35 3 
18 36 39 
18 41 40 
9 42 40 
18 42 38 
18 5 23 
18 24 2 
5 4 2 
5 24 3 
38 4 3 
31 4 24 
31 1 5 
31 33 3 
43 32 3 
25 38 39 
0 19 40 
25 16 36 
0 16 35 
25 6 27 
37 7 39 
38 11 26 
19 10 39 
16 10 26 
16 11 39 
6 10 40 
15 10 36 
13 10 35 
13 11 33 
13 12 32 
13 20 27 
13 9 31 
15 9 27 
15 20 32 
15 12 33 
14 12 34 
14 20 35 
14 9 33 
6 9 39 
28 9 34 
30 20 33 
30 9 0 
31 20 25 
41 12 1 
41 14 0 
42 14 39 
24 15 39 
4 13 26 
24 13 30 
5 13 29 
5 14 28 
3 14 17 
2 13 17 
41 13 19 
42 13 15 
36 13 14 
40 15 14 
40 7 17 
2 15 23 
4 15 18 
12 7 18 
12 22 35 
20 7 34 
8 10 34 
8 15 35 
8 15 5 
21 22 5 
21 22 40 
21 22 39 
11 22 1 
11 22 0 
10 7 0 
10 7 25 
10 7 43 
10 6 1 
11 6 23 
11 16 40 
7 16 5 
7 16 3 
14 16 24 
14 16 4 
14 16 1 
22 19 25 
22 19 33 
10 37 33 
7 32 33 
14 32 27 
14 2 26 
13 23 39 
13 1 40 
15 38 41 
15 37 3 
13 27 3 
13 34 2 
13 18 19 
14 18 11 
8 18 21 
12 36 21 
20 40 8 
20 26 12 
18 28 20 
35 32 9 
41 36 20 
5 30 12 
5 19 6 
38 17 6 
0 31 6 
25 30 29 
4 30 29 
42 25 37 
42 0 37 
24 0 29 
3 0 30 
4 0 19 
4 43 22 
34 43 15 
27 43 12 
27 16 9 
42 42 42 
;

EXECUTION TIME KUMAR3: 1129.99866009 seconds

-------------------------------------------------------------------
DATFILE : offices1_3r_1000.dat
ENVIRONMENT : office
ALGORITHM : KUMAR3
RANGE : _100
STARTING_POS : 42
N_ROBOTS : 3
KUMAR3 sumD / objective : 8872.0
CONFIGURATIONS :
42 42 42 
5 41 42 
24 41 42 
4 41 42 
4 36 42 
24 36 42 
5 36 42 
5 35 42 
5 34 42 
24 34 42 
4 34 42 
4 35 42 
24 35 42 
24 35 41 
24 34 41 
24 33 41 
4 33 41 
4 32 41 
4 27 41 
4 26 41 
24 26 41 
24 27 41 
24 32 41 
5 32 41 
5 27 41 
5 26 41 
5 23 41 
5 2 41 
24 2 41 
4 2 41 
4 23 41 
24 23 41 
24 23 36 
24 2 36 
24 2 35 
24 23 35 
24 23 34 
24 2 34 
24 2 33 
24 23 33 
5 23 33 
5 26 33 
5 27 33 
5 32 33 
5 32 34 
5 27 34 
5 26 34 
5 26 35 
5 27 35 
5 32 35 
5 33 35 
5 33 34 
5 35 34 
5 36 34 
5 36 35 
5 36 33 
5 36 32 
5 36 27 
5 36 26 
5 36 38 
24 36 38 
4 36 38 
4 36 37 
4 36 43 
24 36 43 
24 36 37 
5 36 37 
5 36 43 
5 41 43 
5 41 37 
5 41 38 
5 42 38 
5 42 26 
5 42 27 
5 42 32 
5 42 33 
5 42 31 
5 42 30 
5 42 29 
24 42 29 
4 42 29 
4 42 30 
24 42 30 
24 42 31 
4 42 31 
4 41 31 
4 41 30 
4 41 29 
4 41 28 
24 41 28 
5 41 28 
5 36 28 
5 36 29 
5 36 30 
5 36 31 
5 35 31 
5 34 31 
5 34 30 
5 35 30 
5 35 29 
5 34 29 
5 34 28 
5 35 28 
5 35 17 
5 34 17 
24 34 17 
4 34 17 
4 33 17 
4 32 17 
4 27 17 
4 26 17 
4 23 17 
4 2 17 
4 2 28 
4 23 28 
4 26 28 
4 27 28 
4 32 28 
4 32 29 
4 27 29 
4 26 29 
4 26 30 
4 27 30 
4 32 30 
4 32 31 
4 27 31 
4 26 31 
4 26 27 
4 26 32 
4 27 32 
3 27 32 
3 26 32 
3 23 32 
3 23 27 
3 23 26 
3 2 26 
3 2 27 
3 2 32 
3 2 33 
3 2 34 
3 2 35 
3 2 36 
3 2 41 
3 2 42 
3 23 42 
3 1 42 
3 1 41 
3 1 36 
3 1 35 
3 1 34 
3 1 33 
3 1 32 
3 1 27 
3 1 26 
3 1 23 
3 1 2 
3 23 2 
3 39 2 
3 39 23 
3 39 26 
3 39 27 
3 39 32 
3 39 33 
3 39 34 
3 39 35 
3 39 36 
3 39 41 
3 39 42 
3 40 42 
3 40 41 
3 40 36 
3 40 35 
3 40 34 
3 40 33 
3 40 32 
3 40 27 
3 40 26 
3 40 23 
3 40 2 
24 40 2 
4 40 2 
4 39 2 
24 39 2 
5 39 2 
5 40 2 
5 40 3 
24 40 3 
4 40 3 
4 40 24 
4 40 5 
24 40 5 
1 40 5 
1 40 24 
1 40 4 
1 39 4 
1 38 4 
1 37 4 
1 43 4 
23 43 4 
23 37 4 
2 37 4 
2 43 4 
2 25 4 
23 25 4 
23 25 24 
26 25 24 
27 25 24 
32 25 24 
32 25 5 
33 25 5 
34 25 5 
35 25 5 
35 0 5 
34 0 5 
34 0 24 
34 0 4 
33 0 4 
32 0 4 
27 0 4 
26 0 4 
23 0 4 
2 0 4 
3 0 4 
3 25 4 
3 43 4 
3 37 4 
3 38 4 
23 38 4 
2 38 4 
26 38 4 
27 38 4 
32 38 4 
32 37 4 
27 37 4 
27 43 4 
32 43 4 
33 43 4 
33 37 4 
33 38 4 
34 38 4 
35 38 4 
35 37 4 
35 43 4 
34 43 4 
34 37 4 
26 37 4 
26 43 4 
38 43 4 
38 37 4 
39 37 4 
39 43 4 
39 25 4 
39 0 4 
40 0 4 
40 25 4 
41 25 4 
36 25 4 
36 0 4 
41 0 4 
42 0 4 
42 25 4 
42 43 4 
42 37 4 
40 37 4 
40 43 4 
40 28 4 
40 29 4 
40 30 4 
40 31 4 
39 31 4 
39 30 4 
39 29 4 
39 28 4 
39 17 4 
40 17 4 
41 17 4 
36 17 4 
36 19 4 
36 19 24 
36 19 5 
41 19 5 
42 19 5 
42 17 5 
42 28 5 
42 28 3 
42 29 3 
42 30 3 
42 31 3 
42 31 23 
42 31 2 
42 30 2 
42 30 23 
42 29 23 
42 29 2 
42 29 1 
42 30 1 
42 31 1 
42 31 0 
42 30 0 
42 29 0 
42 28 0 
42 28 25 
42 29 25 
42 30 25 
42 31 25 
42 31 43 
42 31 37 
42 30 37 
42 30 43 
42 29 43 
42 29 37 
42 29 38 
42 30 38 
42 31 38 
42 28 38 
42 28 37 
42 28 43 
42 17 43 
42 17 37 
42 17 38 
42 19 38 
42 19 26 
42 19 27 
42 19 32 
42 19 33 
42 19 34 
42 19 35 
42 16 35 
42 16 34 
42 16 33 
42 16 32 
42 16 27 
42 16 26 
42 16 23 
42 16 2 
41 16 2 
36 16 2 
36 16 3 
36 16 24 
36 16 4 
36 6 4 
36 6 24 
36 6 5 
41 6 5 
42 6 5 
42 22 5 
42 7 5 
42 7 24 
42 22 24 
42 22 4 
42 7 4 
41 7 4 
41 22 4 
36 22 4 
36 7 4 
35 7 4 
35 22 4 
34 22 4 
34 7 4 
